name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,power_outputs_kw,source,source_date
Tesla Supercharger,"4994 Great Alpine Rd, Ovens",146.759301,-36.587007,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"3897 Great Alpine Rd, Myrtleford",146.6841698,-36.5206719,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Cnr Burke St &, Wimmera Hwy, Newbridge",143.900148,-36.74062410000001,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Gaol Rd, Bendigo",144.2766253,-36.7568946,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"200 McCrae St, Bendigo",144.2869918,-36.7541005,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"156-158 Strickland Rd, East Bendigo",144.3179465,-36.7509918,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"371 High St, Golden Square",144.2568245,-36.7742523,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"177/183 High St, Bendigo",144.2697374,-36.7643739,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"7 Railway Pl, Bendigo",144.2824656,-36.7646664,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"761 McIvor Hwy, Bendigo",144.347151,-36.769321,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"26 Forest St, Bendigo",144.2765051,-36.7591711,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Supercharger,"150/158 Condon St, Kennington",144.3059484,-36.7749175,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"470 Mitchellstown Rd, Mitchellstown",145.0903886,-36.8490331,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"142 Mulberry Dr, Tabilk",145.0868538,-36.8269443,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"167 Tarcombe St, Euroa",145.5910904,-36.7429647,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Supercharger,"46 Kirkland Ave, Euroa",145.573418,-36.752887,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"53 Clifton St, Euroa",145.5650846,-36.7592122,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"4861 Wangaratta-Whitfield Rd, Whitfield",146.4147205,-36.7617975,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"6619 Great Alpine Rd, Porepunkah",146.888984,-36.675301,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"402 Morses Creek Rd, Wandiligong",146.982338,-36.762554,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"5 Wood St, Bright",146.9574988,-36.7293022,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Station St, Maryborough",143.7420771,-37.051343,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"1846 Maryborough-Dunolly Rd, Dunolly",143.73737,-36.866815,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"High St, Harcourt",144.2609073,-36.99866,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Jones St, Avenel",145.239889,-36.907472,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"IGA car park, 3450/33 Forest St, Castlemaine",144.217785,-37.066762,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"49, B180, Newstead",144.066461,-37.1051679,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"1 Hutton St, Kyneton",144.4522666,-37.2471431,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"72 Piper St, Kyneton",144.4488839,-37.2436709,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Supercharger,"10 High St, Yea",145.426132,-37.210038,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"36 Killingworth Rd, Killingworth",145.4354379,-37.2076799,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"6572 Maroondah Hwy, Yarck",145.6161547,-37.1033217,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"Sugarloaf Rd, Eildon",145.9076273,-37.2119398,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"Cnr Pollards Rd and, Stoneys Rd, Mansfield",146.1675482,-37.0882425,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"1 Mimosa Dr, Merrijig",146.3370767,-37.1088261,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,Ararat,142.9339505,-37.2833511,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,Creswick,143.8905449,-37.4444528,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"Midland Hwy, Creswick",143.8905812,-37.4435051,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"4 King St, Daylesford",144.141044,-37.3491039,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"76 Vincent St, Daylesford",144.1421979,-37.3429734,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"219 Main Rd, Hepburn",144.129039,-37.302791,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"13 King St, Daylesford",144.1414939,-37.3502343,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"23A King St, Daylesford",144.1411099,-37.3510269,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"1 High St, Lyonville",144.260118,-37.39029,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"124 High St, Woodend",144.528206,-37.3560919,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Supercharger,"333 Gillies St N, Wendouree",143.822503,-37.53460099999999,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Stockland Wendouree EV charger,Wendouree,143.8237232,-37.5351446,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"Gillies St N, Wendouree",143.8238583,-37.53277629999999,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"61 Curtis St, Ballarat Central",143.8622922,-37.5613141,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"39 Magpie St, Golden Point",143.8664281,-37.5747274,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"508 Warrenheip St, Buninyong",143.8841324,-37.6492047,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"10 Lydiard St N, Ballarat",143.8573958,-37.5627663,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"571-583 High St, Epping",145.0160005,-37.6532174,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"1 Scanlon Dr, Epping",144.9943204,-37.6480322,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"200 James Mirams Dr, Roxburgh Park",144.9147733,-37.6163148,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"74 Church St (cnr, Beech St, Whittlesea",145.118383,-37.510589,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"111 Regent St, Mernda",145.069128,-37.605057,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
EVUp Charging Station,"19 Whittlesea-Kinglake Rd, Kinglake",145.3395768,-37.531386,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"58 Pinnacle Ln, Dixons Creek",145.4123501,-37.5970266,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"122 Healesville-Kinglake Rd, Healesville",145.5034082,-37.650204,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"436 Maroondah Hwy, Narbethong",145.6550466,-37.5645956,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"32/42 Murchison St, Marysville",145.745079,-37.510167,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"179/253 Exford Rd, Weir Views",144.5721244,-37.7227737,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"Bridge Rd, Cobblebank",144.5993911,-37.71582900000001,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"201 Ferris Rd, Melton South",144.6035927,-37.7139873,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Coles Express, 410 Melton Hwy, Taylors Lakes",144.78212,-37.69657,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"399 Melton Hwy, Taylors Lakes",144.7760853,-37.6991726,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"11 Neale Rd, Cairnlea",144.7761135,-37.7519664,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"83 Leakes Rd, Tarneit",144.6976544,-37.8336837,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"88 Leakes Rd, Truganina",144.7640497,-37.8401973,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
JET Charge,"10/350 Bridge St, Port Melbourne",144.9354423,-37.828786,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Supercharger,"650 Church St, Cremorne",144.995688,-37.83214299999999,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"13 Stanton St, Abbotsford",144.9932696,-37.8044708,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"90 Bell St, Coburg",144.9697091,-37.7407488,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
