,No. of Ports,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,Power Select,evstations_count,hospitals_count,parks_count,restaurants_count,Clusters,cluster_type
373,2,1,3,0,1,1,2,20,1,20,20,2,Sparse
374,2,1,3,0,1,1,2,7,0,2,20,1,Normal
375,2,1,8,0,1,1,2,20,0,20,20,2,Sparse
376,2,1,8,0,1,1,2,5,0,3,9,2,Sparse
377,2,1,8,0,1,1,2,20,0,7,20,2,Sparse
378,2,2,3,0,1,1,2,7,0,6,20,1,Normal
379,2,1,8,0,1,1,2,5,0,2,8,1,Normal
380,2,1,8,0,1,1,2,8,0,5,2,2,Sparse
381,1,1,5,0,0,0,2,7,1,5,9,1,Normal
382,2,1,5,1,1,1,2,20,0,16,20,2,Sparse
383,2,0,8,0,1,1,2,20,0,7,20,1,Normal
384,2,1,5,0,1,1,2,20,0,9,20,1,Normal
385,2,2,3,0,1,1,2,3,0,2,7,2,Sparse
386,1,1,8,0,0,0,2,16,0,11,20,1,Normal
387,2,2,3,0,1,1,2,8,0,0,5,0,Dense
388,1,2,5,0,0,0,2,8,0,5,12,0,Dense
389,2,0,8,0,1,1,2,3,1,7,20,2,Sparse
390,1,0,3,0,0,0,2,20,1,20,20,2,Sparse
391,2,1,4,0,1,1,2,4,0,1,18,2,Sparse
392,2,2,3,0,1,1,2,18,0,12,20,1,Normal
393,2,1,8,0,1,1,2,14,0,1,20,1,Normal
394,2,3,4,1,1,1,2,20,2,18,20,0,Dense
395,2,1,5,0,1,1,2,20,1,4,12,0,Dense
396,2,1,4,1,1,1,2,20,0,5,20,2,Sparse
397,2,1,1,0,1,1,2,20,2,11,20,0,Dense
398,2,1,5,0,1,1,2,20,1,20,20,2,Sparse
399,2,1,3,0,1,1,1,20,0,5,20,2,Sparse
400,2,3,4,1,1,1,2,20,2,18,20,0,Dense
401,2,1,8,0,1,1,2,20,0,7,20,2,Sparse
402,2,0,4,0,1,1,2,20,2,16,20,0,Dense
403,2,1,1,0,1,1,2,20,2,11,20,0,Dense
404,2,2,3,0,1,1,2,20,0,3,20,2,Sparse
405,2,0,8,0,1,1,2,20,1,6,20,0,Dense
406,2,1,5,0,1,1,2,7,1,7,16,1,Normal
407,2,1,5,0,1,1,2,20,2,10,20,1,Normal
408,2,1,5,0,1,1,2,8,0,2,20,1,Normal
409,2,1,2,0,1,1,2,12,0,1,20,2,Sparse
410,2,2,3,0,1,1,2,20,0,19,20,1,Normal
411,2,1,5,0,1,1,2,5,1,4,17,1,Normal
412,2,1,8,0,1,1,2,5,0,1,20,2,Sparse
413,2,1,8,0,1,1,2,3,0,0,6,2,Sparse
414,1,0,3,0,0,0,2,20,1,20,20,2,Sparse
415,2,1,0,0,1,1,2,12,1,14,20,0,Dense
416,2,1,0,0,1,1,2,9,0,4,20,1,Normal
417,2,1,3,0,1,1,2,20,0,20,20,2,Sparse
418,2,1,8,0,1,1,2,5,2,3,20,1,Normal
419,2,0,4,0,1,1,2,20,0,20,20,0,Dense
420,2,1,8,0,1,1,2,8,0,1,7,2,Sparse
421,2,1,8,0,1,1,2,4,0,3,20,0,Dense
422,2,1,8,0,1,1,2,2,0,7,0,2,Sparse
423,2,1,8,0,1,1,2,20,0,7,20,2,Sparse
424,2,1,5,0,1,1,2,10,1,2,8,2,Sparse
425,2,1,5,0,1,1,2,20,1,6,20,1,Normal
426,2,1,5,0,1,1,2,20,1,17,20,1,Normal
427,2,3,5,1,1,1,2,7,3,6,9,1,Normal
428,2,1,5,0,1,1,2,7,0,10,19,1,Normal
429,2,1,5,0,1,1,2,20,0,20,20,2,Sparse
430,2,1,0,0,1,1,2,12,1,15,20,0,Dense
431,2,1,5,0,1,1,2,20,1,20,20,1,Normal
432,2,3,6,0,1,1,2,17,0,16,18,1,Normal
433,2,1,3,0,1,1,2,5,0,9,20,1,Normal
434,2,0,8,0,1,1,2,6,0,7,9,0,Dense
435,2,1,8,0,1,1,2,5,0,1,20,2,Sparse
