name,address,postcode,latitude,longitude,networks,total_plugs,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw
Coburg North EV Fast Charge (Currently Out of Order),"11 Boundary Rd, Coburg North VIC 3058, Australia",3058,-37.718952,144.961498,['Chargefox'],2,1,1,0,0,0,0,,0,0,,[50.0]
Energy Smart Water,"11 Dalkeith Drive, Dromana VIC 3936, Australia",3936,-38.334999,144.98653,['EVUp'],1,0,0,0,1,0,0,,0,0,,['unknown']
hacyclon caravan park ,"106 Marine Drive, Safety Beach VIC 3936, Australia",3936,-38.317144,144.988947,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
The Glen,"235 Springvale Road, Glen Waverley VIC 3150, Australia",3150,-37.875269,145.16523,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Donato Cafe,"88 Craigie Rd, Mount Martha VIC 3934, Australia",3934,-38.256559,145.037439,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[5.0]
Bru4U Geelong,"4/100 Barwon Terrace, South Geelong VIC 3220, Australia",3220,-38.172122,144.367288,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Park Rises Residences,"72 Altona Street, Kensington VIC 3031",3031,-37.797009,144.926387,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Paint Spot Niddrie,"1 Elstone Ct, Niddrie VIC 3042, Australia",3042,-37.735219,144.887807,['Non-networked'],1,0,0,0,0,0,1,,0,0,,['unknown']
(No Longer In Use) DHL Melbourne Gateway,"4 mace Wy, Melbourne Airport VIC 3045, Australia",3045,-37.684086,144.863519,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Bayside Entertainment Centre,"28 Beach St, Frankston VIC 3199, Australia",3199,-38.140408,145.125184,['Non-networked'],2,0,0,0,0,0,0,,2,0,,[7.0]
Diamond Valley Sports and Fitness Centre,"44 Civic Dr, Greensborough VIC 3088, Australia",3088,-37.689194,145.110764,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Waverley Nissan,"565-577 Springvale Rd, Mulgrave VIC 3170, Australia",3170,-37.906157,145.159718,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Grow Energy,"325A Bay Road, Cheltenham VIC 3192",3192,-37.955662,145.038605,['Non-networked'],4,0,0,0,0,0,0,,4,0,,['unknown']
Myuna Farm,"182 Kidds Rd, Doveton VIC 3177, Australia",3177,-37.985484,145.232704,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Lockelec Rolling Stock,"14 Capital Ct, Braeside VIC 3195, Australia",3195,-37.995328,145.109648,['Non-networked'],1,0,0,0,0,1,0,,0,0,,['unknown']
Kelly Racing,"45 Canterbury Rd Braeside VIC 3195, Australia",3195,-38.010174,145.110226,['ChargePoint'],1,0,0,0,1,0,0,,0,0,,['unknown']
"Footscray town hall, Maribyrnong city council","61 Napier St, Footscray VIC 3011, Australia",3011,-37.804868,144.900362,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
