start_date,station_na,charging_t,energy_kwh,address_1,address_2,city,state_prov,zip_postal,fee,model_numb,latitude,longitude,location
2022-01-24T17:24:09Z,TOWN OF CARY / DT DECK P2 (1),3:11:58,11.953,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.7794110000 35.7854460000)
2022-01-24T19:20:45Z,TOWN OF CARY / DT DECK P4,0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.7793660000 35.7832030000)
2022-01-23T15:24:43Z,TOWN OF CARY / DT DECK P4,1:57:50,6.443,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.7793660000 35.7832030000)
2022-01-23T14:20:54Z,TOWN OF CARY / DT DECK P3 WEST,1:00:06,3.26,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-01-21T05:28:46Z,TOWN OF CARY / DT DECK P4,9:15:38,57.258,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.7793660000 35.7832030000)
2022-01-21T01:22:36Z,TOWN OF CARY / TOWN HALL-PWH,1:07:38,3.438,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-01-19T14:55:18Z,TOWN OF CARY / BOND PARK BH,1:37:07,9.285,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-19T15:02:26Z,TOWN OF CARY / BOND PARK BH,1:11:03,7.683,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-17T21:23:29Z,TOWN OF CARY / BOND PARK BH,0:28:01,3.353,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-17T15:55:41Z,TOWN OF CARY / DT DECK P3 WEST,0:01:48,0.16,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-01-15T21:19:19Z,TOWN OF CARY / BOND PARK BH,1:10:03,8.058,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-15T21:27:13Z,TOWN OF CARY / DT DECK P3 WEST,0:37:20,3.695,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-01-15T18:31:59Z,TOWN OF CARY / DT DECK P3 WEST,0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-01-14T21:55:50Z,TOWN OF CARY / BOND PARK BH,0:35:57,2.018,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-14T20:20:15Z,TOWN OF CARY / BOND PARK BH,0:26:53,3.256,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-14T18:05:30Z,TOWN OF CARY / BOND PARK BH,2:12:39,16.208,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-14T17:19:45Z,TOWN OF CARY / DT DECK P2 (1),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.7794110000 35.7854460000)
2022-01-14T17:18:20Z,TOWN OF CARY / DT DECK P2 (1),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.7794110000 35.7854460000)
2022-01-14T15:34:49Z,TOWN OF CARY / BOND PARK BH,0:35:42,2.016,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-13T21:23:05Z,TOWN OF CARY / DT DECK P4,0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.7793660000 35.7832030000)
2022-01-13T17:31:38Z,TOWN OF CARY / BOND PARK BH,1:03:41,3.908,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-12T19:55:55Z,TOWN OF CARY / BOND PARK BH,2:50:15,9.479,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-12T13:09:25Z,TOWN OF CARY / TOWN HALL-PWH,8:31:49,52.629,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-01-12T19:54:33Z,TOWN OF CARY / DT DECK P4,0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.7793660000 35.7832030000)
2022-01-11T16:13:28Z,TOWN OF CARY / TOWN HALL-PWH,1:18:43,7.977,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-01-10T13:05:25Z,TOWN OF CARY / TOWN HALL-PWH,3:50:27,4.665,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-01-10T18:24:20Z,TOWN OF CARY / BOND PARK BH,1:00:27,2.534,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-09T20:36:56Z,TOWN OF CARY / BOND PARK BH,2:55:42,9.66,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-01-09T16:49:47Z,TOWN OF CARY / TOWN HALL-PWH,4:49:30,14.646,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
