Created;Station ID;Station name;Start time;Stop time;Duration;Energy (Wh);Plug type;Cumulative energy (Wh);Colonna1
30/11/2019 10.24;1086;Turun linja-autoasema;30/11/2019 10.24;30/11/2019 11.52;88;4760;AC;36011851;3245.454545
30/11/2019 10.27;3023;Turun linja-autoasema;30/11/2019 10.27;30/11/2019 11.34;68;4509;DC;36016360;3978.529412
30/11/2019 10.56;1138;Hämeenkatu 8;30/11/2019 10.56;30/11/2019 11.04;8;780;AC;36017140;5850
30/11/2019 11.36;1138;Hämeenkatu 8;30/11/2019 11.36;30/11/2019 12.27;51;2710;AC;36019850;3188.235294
30/11/2019 11.49;4667;Logomo;30/11/2019 11.49;30/11/2019 12.50;61;7000;AC;36026850;6885.245902
30/11/2019 11.57;1100;Puutarhakatu 4;30/11/2019 11.57;30/11/2019 14.07;131;1750;AC;36028600;801.5267176
30/11/2019 12.00;1140;Hämeenkatu 8;30/11/2019 12.00;30/11/2019 12.21;21;1110;AC;36029710;3171.428571
30/11/2019 12.47;1086;Turun linja-autoasema;30/11/2019 12.47;30/11/2019 14.51;125;1660;AC;36031370;796.8
30/11/2019 12.52;1099;Puutarhakatu 4;30/11/2019 12.52;30/11/2019 13.20;29;1430;AC;36032800;2958.62069
30/11/2019 13.12;2653;Puistokatu 10;30/11/2019 13.12;30/11/2019 13.51;39;5970;AC;36038770;9184.615385
30/11/2019 14.04;1138;Hämeenkatu 8;30/11/2019 14.04;30/11/2019 14.40;37;1930;AC;36040700;3129.72973
30/11/2019 14.13;1100;Puutarhakatu 4;30/11/2019 14.13;30/11/2019 15.34;82;7620;AC;36048320;5575.609756
30/11/2019 14.15;1140;Hämeenkatu 8;30/11/2019 14.15;30/11/2019 15.21;67;3500;AC;36051820;3134.328358
30/11/2019 14.20;1099;Puutarhakatu 4;30/11/2019 14.20;30/11/2019 16.09;109;5960;AC;36057780;3280.733945
30/11/2019 14.44;1138;Hämeenkatu 8;30/11/2019 14.44;30/11/2019 15.47;63;3360;AC;36061140;3200
30/11/2019 15.26;3023;Turun linja-autoasema;30/11/2019 15.26;30/11/2019 15.34;9;1876;DC;36063016;12506.66667
30/11/2019 15.35;3023;Turun linja-autoasema;30/11/2019 15.35;30/11/2019 16.13;38;2875;DC;36065891;4539.473684
30/11/2019 16.05;2653;Puistokatu 10;30/11/2019 16.05;30/11/2019 16.05;1;50;AC;36065941;3000
30/11/2019 16.08;2653;Puistokatu 10;30/11/2019 16.08;30/11/2019 17.18;70;10980;AC;36076921;9411.428571
30/11/2019 16.12;1138;Hämeenkatu 8;30/11/2019 16.12;30/11/2019 17.24;72;3890;AC;36080811;3241.666667
30/11/2019 16.23;1086;Turun linja-autoasema;30/11/2019 16.23;30/11/2019 16.24;1;0;AC;36080811;0
30/11/2019 16.24;1086;Turun linja-autoasema;30/11/2019 16.24;30/11/2019 19.03;159;0;AC;36080811;0
30/11/2019 16.44;1140;Hämeenkatu 8;30/11/2019 16.44;30/11/2019 17.15;31;1530;AC;36082341;2961.290323
30/11/2019 17.21;1126;ABC Tammisilta;30/11/2019 17.21;30/11/2019 17.22;1;8;DC;36082349;480
30/11/2019 17.23;1126;ABC Tammisilta;30/11/2019 17.23;30/11/2019 17.34;11;4138;DC;36086487;22570.90909
30/11/2019 18.18;1140;Hämeenkatu 8;30/11/2019 18.18;30/11/2019 19.23;65;4420;AC;36090907;4080
30/11/2019 18.20;1138;Hämeenkatu 8;30/11/2019 18.20;30/11/2019 20.57;157;5440;AC;36096347;2078.980892
30/11/2019 18.40;2653;Puistokatu 10;30/11/2019 18.40;30/11/2019 23.22;283;20450;AC;36116797;4335.689046
30/11/2019 19.05;1100;Puutarhakatu 4;30/11/2019 19.05;01/12/2019 09.52;887;30640;AC;36147437;2072.604284
30/11/2019 19.14;1099;Puutarhakatu 4;30/11/2019 19.14;30/11/2019 19.49;35;1850;AC;36149287;3171.428571
30/11/2019 22.12;3023;Turun linja-autoasema;30/11/2019 22.12;30/11/2019 22.41;29;13184;DC;36162471;27277.24138
01/12/2019 10.19;2500;Stedingkinkatu 2;01/12/2019 10.19;01/12/2019 12.08;110;4120;AC;36166591;2247.272727
01/12/2019 10.55;1100;Puutarhakatu 4;01/12/2019 10.55;01/12/2019 13.35;160;30180;AC;36196771;11317.5
01/12/2019 11.00;1086;Turun linja-autoasema;01/12/2019 11.00;01/12/2019 12.46;107;4470;AC;36201241;2506.542056
01/12/2019 11.49;1126;ABC Tammisilta;01/12/2019 11.49;01/12/2019 11.49;0;0;DC;36201241;#DIV/0!
01/12/2019 12.24;1138;Hämeenkatu 8;01/12/2019 12.24;01/12/2019 14.20;116;6260;AC;36207501;3237.931034
01/12/2019 12.28;2653;Puistokatu 10;01/12/2019 12.28;01/12/2019 17.41;314;3930;AC;36211431;750.955414
01/12/2019 13.28;2500;Stedingkinkatu 2;01/12/2019 13.28;01/12/2019 15.06;99;4880;AC;36216311;2957.575758
01/12/2019 13.42;1100;Puutarhakatu 4;01/12/2019 13.42;01/12/2019 14.03;21;1670;AC;36217981;4771.428571
01/12/2019 14.07;1140;Hämeenkatu 8;01/12/2019 14.07;01/12/2019 14.51;44;4830;AC;36222811;6586.363636
01/12/2019 14.07;1100;Puutarhakatu 4;01/12/2019 14.07;01/12/2019 17.04;178;45500;AC;36268311;15337.07865
01/12/2019 14.31;1086;Turun linja-autoasema;01/12/2019 14.31;01/12/2019 17.17;167;6820;AC;36275131;2450.299401
01/12/2019 14.36;3023;Turun linja-autoasema;01/12/2019 14.36;01/12/2019 15.17;41;3080;DC;36278211;4507.317073
01/12/2019 14.57;1099;Puutarhakatu 4;01/12/2019 14.57;01/12/2019 17.13;136;5560;AC;36283771;2452.941176
01/12/2019 15.29;3022;Turun linja-autoasema;01/12/2019 15.29;01/12/2019 16.07;38;2050;AC;36285821;3236.842105
01/12/2019 15.34;2500;Stedingkinkatu 2;01/12/2019 15.34;01/12/2019 17.17;104;5460;AC;36291281;3150
01/12/2019 16.22;2652;Puistokatu 10;01/12/2019 16.22;01/12/2019 17.09;47;5320;AC;36296601;6791.489362
01/12/2019 17.21;1138;Hämeenkatu 8;01/12/2019 17.21;01/12/2019 19.37;136;6630;AC;36303231;2925
01/12/2019 18.02;2500;Stedingkinkatu 2;01/12/2019 18.02;01/12/2019 18.21;19;1840;AC;36305071;5810.526316
