start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,geopoint
2022-03-03T19:51:04+00:00,TOWN OF CARY / BOND PARK BH,1:23:17,10.063,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-03T14:55:36+00:00,TOWN OF CARY / TOWN HALL-PWH,2:42:54,15.272,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-02T17:21:03+00:00,TOWN OF CARY / DT DECK P2 (2),0:34:49,1.823,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-01T17:47:55+00:00,TOWN OF CARY / TOWN HALL-PWH,3:28:17,19.743,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-01T21:40:01+00:00,TOWN OF CARY / DT DECK P2 (2),0:14:02,1.42,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-02-28T18:55:43+00:00,TOWN OF CARY / DT DECK P2 (1),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-02-28T14:44:19+00:00,TOWN OF CARY / BOND PARK BH,2:30:01,12.136,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-28T14:08:51+00:00,TOWN OF CARY / BOND PARK BH,0:38:22,2.181,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-27T18:55:28+00:00,TOWN OF CARY / BOND PARK BH,3:16:16,23.563,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-26T03:16:30+00:00,TOWN OF CARY / DT DECK P2 (2),4:44:31,29.358,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-02-26T16:17:25+00:00,TOWN OF CARY / DT DECK P2 (1),0:32:02,3.187,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-02-24T12:44:16+00:00,TOWN OF CARY / BOND PARK BH,4:46:18,34.683,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-23T20:34:27+00:00,TOWN OF CARY / BOND PARK BH,4:00:09,9.262,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-23T20:50:12+00:00,TOWN OF CARY / TOWN HALL-PWH,2:13:35,13.652,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-02-23T19:07:28+00:00,TOWN OF CARY / BOND PARK BH,1:25:52,10.294,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-23T14:48:31+00:00,TOWN OF CARY / BOND PARK BH,2:07:18,6.949,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-23T13:33:30+00:00,TOWN OF CARY / BOND PARK BH,0:33:09,2.109,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-22T16:29:15+00:00,TOWN OF CARY / DT DECK P2 (1),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-02-22T15:51:45+00:00,TOWN OF CARY / DT DECK P2 (2),0:36:11,3.442,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-02-21T18:33:46+00:00,TOWN OF CARY / BOND PARK BH,0:43:24,5.104,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-21T17:49:00+00:00,TOWN OF CARY / BOND PARK BH,0:41:33,4.492,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-20T18:01:12+00:00,TOWN OF CARY / TOWN HALL-PWH,3:52:24,22.444,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-02-20T21:01:46+00:00,TOWN OF CARY / BOND PARK BH,1:32:13,11.308,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-20T21:05:32+00:00,TOWN OF CARY / DT DECK P2 (1),0:44:24,4.63,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-02-20T17:11:46+00:00,TOWN OF CARY / BOND PARK BH,1:48:41,13.27,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-20T01:43:25+00:00,TOWN OF CARY / DT DECK P2 (2),0:53:40,2.674,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-02-19T19:26:56+00:00,TOWN OF CARY / TOWN HALL-PWH,0:24:41,2.527,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-02-19T16:10:43+00:00,TOWN OF CARY / BOND PARK BH,0:52:50,5.764,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-19T16:16:36+00:00,TOWN OF CARY / DT DECK P2 (1),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-02-18T15:16:40+00:00,TOWN OF CARY / BOND PARK BH,1:44:37,12.691,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-18T05:11:02+00:00,TOWN OF CARY / DT DECK P2 (2),2:07:27,7.13,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-02-17T21:36:19+00:00,TOWN OF CARY / BOND PARK BH,0:57:24,6.338,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-02-17T18:30:14+00:00,TOWN OF CARY / TOWN HALL-PWH,3:50:55,23.375,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
