location,start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,location_2
POINT(-78.779411 35.785446),1642180700,TOWN OF CARY / DT DECK P2 (1),00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.779411 35.785446)
POINT(-78.825554 35.781303),1642174489,TOWN OF CARY / BOND PARK BH,00:35:42,2.016,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.779366 35.783203),1642108985,TOWN OF CARY / DT DECK P4,00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.779366 35.783203)
POINT(-78.825554 35.781303),1642095098,TOWN OF CARY / BOND PARK BH,01:03:41,3.908,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.825554 35.781303),1642017355,TOWN OF CARY / BOND PARK BH,02:50:15,9.479,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.778816 35.789215),1641992965,TOWN OF CARY / TOWN HALL-PWH,08:31:49,52.629,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.779366 35.783203),1642017273,TOWN OF CARY / DT DECK P4,00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.779366 35.783203)
POINT(-78.778816 35.789215),1641917608,TOWN OF CARY / TOWN HALL-PWH,01:18:43,7.977,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.778816 35.789215),1641819925,TOWN OF CARY / TOWN HALL-PWH,03:50:27,4.665,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.825554 35.781303),1641839060,TOWN OF CARY / BOND PARK BH,01:00:27,2.534,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.825554 35.781303),1641760616,TOWN OF CARY / BOND PARK BH,02:55:42,9.66,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.778816 35.789215),1641746987,TOWN OF CARY / TOWN HALL-PWH,04:49:30,14.646,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.778816 35.789215),1641743505,TOWN OF CARY / TOWN HALL-PWH,01:50:11,6.236,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.825554 35.781303),1641674264,TOWN OF CARY / BOND PARK BH,00:46:10,4.77,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.778816 35.789215),1641565434,TOWN OF CARY / TOWN HALL-PWH,03:14:41,20.131,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.825554 35.781303),1641567783,TOWN OF CARY / BOND PARK BH,00:24:24,2.967,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.778816 35.789215),1641518103,TOWN OF CARY / TOWN HALL-PWH,01:23:28,4.23,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.825554 35.781303),1641414504,TOWN OF CARY / BOND PARK BH,03:25:27,9.588,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.778816 35.789215),1641416994,TOWN OF CARY / TOWN HALL-PWH,01:09:07,3.856,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.779366 35.783203),1641313784,TOWN OF CARY / DT DECK P4,10:03:02,54.069,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.779366 35.783203)
POINT(-78.825554 35.781303),1641231762,TOWN OF CARY / BOND PARK BH,05:45:52,34.381,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
