Latitude,Longitude,charger_type
-38.334999,144.98653,J-1772
-37.704572,145.072077,J-1772
-37.816254,144.954636,J-1772
-37.83170783,144.9965223,J-1772
-37.984494,145.216329,J-1772
-37.909599,145.062347,J-1772
-37.720262,144.895849,J-1772
-37.884254,144.736465,J-1772
-37.78342,145.126058,J-1772
-16.923837,145.7796679,J-1772
-37.82123242,144.9673592,J-1772
-37.812452,144.969535,J-1772
-38.225341,144.328361,J-1772
-38.34035,144.310815,J-1772
-37.884233,144.734115,J-1772
-37.81638627,144.9547755,J-1772
-37.81211268,144.9709222,J-1772
-37.723715,144.920974,J-1772
-37.950648,145.080488,J-1772
-37.958461,145.053615,J-1772
-37.90326,145.095351,J-1772
-37.822715,144.96767,J-1772
-38.022421,145.213927,J-1772
-38.010174,145.110226,J-1772
-16.9036743,145.7617551,J-1772
-37.81581182,144.9595123,J-1772
-37.762252,145.16823,J-1772
-37.80320151,144.9717566,J-1772
